	ID	Inner ID	Type	Text
33	T34	TH34	H	"Harvey n. middleton (february 15 1895 – march 18 1978) was a physician and cardiologist in indianapolis who is best known for his efforts to open opportunities for black physicians to serve on the staffs of indianapolis hospitals and for his community service. Middleton was born in denmark, south carolina and received a bachelor of arts degree from benedict college (1919) in columbia, south carolina. Around 1935 he relocated to indianapolis established a private medical practice and volunteered at indianapolis general (city) hospital's outpatient heart clinic. Middleton was accepted as a member of city hospital staff in 1942 and joined the staffs at other indianapolis hospitals. Middleton a member of the national association for the advancement of colored people was actively involved in indianapolis philanthropic and social organizations most notably in leadership roles in the young men's christian association. He was particularly active in indianapolis's senate avenue ymca and its successor the fall creek parkway ymca. He co-chaired the united negro college fund's indiana fundraising campaign (1950 – 51) and was a board member of the indianapolis community chest. Middleton was active in the zeta phi chapter of the omega psi phi fraternity and a member of indianapolis's mount paran baptist church. He is buried in crown hill cemetery indianapolis indiana. Harvey n. middleton was born on february 15 1895 in denmark south carolina. He received a bachelor of arts degree from benedict college columbia south carolina in 1919. He later recalled that as a youth he became aware of the "" inferior medical treatment given to blacks "" and decided to become a physician. His interest in heart diseases and electrocardiography lead him to continue his professional development by taking short courses at harvard university in boston the university of london england the university of michigan at ann arbor indiana university school of medicine at indianapolis and michael reese hospital in chicago. Around 1935 he relocated to indianapolis and applied for a position on the staff at indianapolis general (city) hospital but was unsuccessful. Middleton established a private practice in indianapolis where he gave electrocardiograms and specialized in treating heart irregularities and volunteered as a clinician at city hospital's outpatient heart clinic on saturdays. Middleton joined the staffs of other indianapolis hospitals : saint vincent methodist community and winona. Middleton ’ s article "" phonocardiograph studies on heart disease "" published in the journal of the national medical association (july 1943) is based on case histories from his work in indianapolis. Middleton was general secretary of the hoosier state medical society (1953 – 1958) and an associate board member of the indianapolis hospital development association. He was a member of several philanthropic and social organizations in indianapolis. He was especially known for his leadership roles in indianapolis young men's christian associations. In 1942 following his relocation to indianapolis middleton served as the general chairman of national negro health week. Middleton maintained an association of more than fifty years with the ymca especially the indianapolis senate avenue ymca and its successor the fall creek parkway ymca. In addition to his service to indianapolis ymcas middleton was involved with the united negro college fund and co-chaired its state fundraising campaign (1950 – 51). He was an active in the zeta phi chapter of the omega psi phi fraternity and a member of the mount paran baptist church in indianapolis. Middleton died on march 18 1978 at methodist hospital in indianapolis. Funeral services were held on march 18 1978 at the mount paran baptist church in indianapolis. He is buried in crown hill cemetery indianapolis. The indiana historical society recreated the setting of middleton's 1939 medical office for one of its "" you are there "" exhibitions at the eugene and marilyn glick indiana history center in indianapolis."
34	T35	TH35	H	Maria amalia of austria (maria amalie josefa anna 22 october 1701 – 11 december 1756) was holy roman empress queen of the germans queen of bohemia electress and duchess of bavaria etc. As the spouse of charles vii, holy roman emperor. By birth she was an archduchess of austria as the daughter of joseph i, holy roman emperor and wilhelmine amalia of brunswick-lüneburg. Her son became maximilian iii joseph, elector of bavaria. Her youngest daughter maria josepha of bavaria married the eldest son and heir of maria theresa emperor joseph ii but died childless of smallpox after two years. Another daughter duchess maria antonia of bavaria married her first cousin frederick christian who was prince-elector of saxony for less than three months in 1763. Her middle surviving daughter duchess maria anna josepha of bavaria became margravine of baden-baden. Maria amalia was born an austrian archduchess in hofburg palace vienna about eleven weeks after the death of her infant brother joseph i, holy roman emperor her parents ' only son. Her mother wilhelmine amalia of brunswick-lüneburg was the sister of the duchess of modena and a very pious woman. Instead he promulgated the pragmatic sanction of 1713 which replaced maria amalia and her sister maria josepha of austria with his own daughter maria theresa in the line of succession. In 1717 maria amalia met her future spouse charles vii, holy roman emperor when he visited vienna on his way to participate in the war against the ottoman empire in belgrade. Having agreed to recognize the pragmatic sanction maria amalia married prince-elector charles albert of bavaria on october 5 1722 in vienna. Maria amalia received a grand dowry including jewelry worth 986.500 gulden but outside the religious festivities the wedding was not celebrated as much in vienna as it would be in münich where they lasted from 17 october to 4 november. They lived at nymphenburg palace in munich and had seven children. In may 1727 at the birth of the heir maximilian iii joseph, elector of bavaria maria amalia was given her own residence the fuerstenried palace as a puerperal gift and in 1734 charles albert named the amalienburg in the nymphenburg palace park after her. Maria amalia's husband died on 20 january 1745 and was buried at the theatine church, munich in munich. On his death she persuaded her son maximilian iii joseph, elector of bavaria to make peace with her cousin maria theresa. Maria amalia died in munich at the nymphenburg palace.
35	T36	TH36	H	Jean-françois copé (born 5 may 1964) is a french politician. He is mayor (france) of meaux deputy (député) for the 6th constituency of seine-et-marne and acts as president of the union for a popular movement (ump) group in the french national assembly. He was spokesperson for the french government between 2002 and 2007 and assumed other tenures in the government — including minister of the budget — at the same time. Jean-françois copé was born in boulogne-billancourt the son of professor roland copé a surgeon of romanian jewish origin and monique ghanassia of algerian jewish origin. His maternal grandparents were ismael andré ghanassia a lawyer in algiers (son of moïse ghanassia and djouhar soussi from miliana in algeria) and lise boukhabza (granddaughter of a tunisia In 1985 he entered sciences po for two years before attending the école nationale d'administration from which he graduated in 1989. Following his graduation in 1989 he joined the caisse des dépôts et consignations until 1991. He then worked as head of cabinet for the ceo at dexia while teaching local economy and finance at sciences po. He left those attributions in 1993 to get involved in the leading right-wing party at the time the rally for the republic. In 1997 he came back to teaching as an associate professor of economy and finance at paris 8 university up until 2002. He also returned to the caisse des dépôts et consignations between 1997 and 1999 before joining the supervisory board of dexia from 2000 to 2002. After serving in various political roles in the rally for the republic and the balladur government he became spokesperson for the government of prime minister jean-pierre raffarin in 2002. In 1995 he became mayor (france) of meaux at 35 and was re-elected in 2001 and 2008. Because of his nomination in the government in 2002 he had to step down in favour of ange anziani. He was also regional councillor of ile-de-france from 1998 to 2007 and was list leader of the union for a popular movement In 2002 he was elected in the 6th constituency. He was re-elected there by the first round in 2007 becoming president of the union for a popular movement group in the french national assembly at the same time. In november 2010 he became general secretary of the union for a popular movement. In september 2012 copé denounced the development of an anti-white racism by people living in france sparking a nationwide controversy in media and politics. On 19 november 2012 copé declared himself winner of the union for a popular movement leadership election with 50,03 % of votes an assertion that was contradicted by françois fillon who asserted his own victory. Secretary of state for relationships with parliament and government's spokesman : 2002 – 2004. National assembly of france President of the union for a popular movement group in the national assembly : 2007 – 2010 (resignation). Member of the national assembly of france for seine-et-marne (5th then 6th constituency) : 1995 – 1997 / reelected in 2002 but he became secretary of state / since 2007. Elected in 1995 reelected in 2002 2007 2012. Mayor of meaux : 1995 – 2002 (resignation) / since 2005. Deputy-mayor of meaux : 2002 – 2005. Municipal councillor of meaux : since 1995. Deputy general secretary of the rally for the republic : 2001 – 2002. General secretary of the union for a popular movement : 2010-2012. Président of the union for a popular movement : 2012-2014.
36	T37	TH37	H	Juan carlos letelier (born 20 may 1959 in valparaíso) is a former association football forward (association football) from chile who was nickname He played for his chile national football team at the 1982 fifa world cup in spain. He played 57 times for his country scoring 18 goals between 1979 and 1989 scoring the last goal against algeria at the 1982 world cup. During his club career letelier played professional football in chile colombia brazil mexico peru and venezuela. At international level letelier played for the chilean team for an entire decade making 57 appearances and scoring 18 goals between 1979 and 1989 his last international match came against brazil on 3 september 1989
37	T38	TH38	H	Paul smith (outfielder) (may 7 1888 – july 3 1958) was a major league baseball outfielder. Smith played in 10 games in the 1916 season with the cincinnati reds. Smith was born in mount zion, illinois and died in decatur, illinois.
38	T39	TH39	H	Robert musel (13 august 1909 – 8 september 1999) sometimes credited as robert musel was an united states journalist and lyricist who was based in london for much of his life.
39	T40	TH40	H	Fernando savater (born 21 june 1947 at basque city of san sebastián) is one of spain's most popular living philosopher as well as an essayist and celebrated author. Born in san sebastián he was an ethics professor at the university of the basque country for over a decade. Presently he is a philosophy professor at the complutense university of madrid. Fernando savater.
40	T41	TH41	H	Harold morris (composer) (march 17 1890 san antonio, texas – may 6 1964 new york city) was an american pianist composer and educator. Morris graduated from the university of texas at austin in 1910 and received his master's degree from the cincinnati conservatory of music in 1922. On november 21 1931 morris was the piano soloist for a performance of his piano concerto with the boston symphony orchestra at carnegie hall. Morris taught at the juilliard school of music from 1922 to 1939 at columbia university from 1939 to 1946 and at the castle school in tarrytown, new york. Morris also taught at his studio in manhattan at rice university (1933) duke university (1939 – 40) and the university of texas at austin. He served as united states director of the international society for contemporary music from 1936 to 1940. 3 (1915) (solo piano)
41	T42	TH42	H	"Tracy letts (born july 4 1965) is an american playwright screenwriter and actor. He received the 2008 pulitzer prize for drama for his play august: osage county and a tony award for best actor in a play for his portrayal of george in the revival of who's afraid of virginia woolf? Letts was born in tulsa, oklahoma to author billie letts (née gipson) and college professor and actor dennis letts. His mother billie letts has said of his work "" i try to be upbeat and funny. Letts married actress carrie coon in september 2013. In 2008 letts won a tony award a drama desk award and the pulitzer prize for drama for august: osage county. In 2004 letts was a finalist for the pulitzer prize for drama for his play man from nebraska. In 2012 – 2013 letts appeared in the 50th anniversary broadway revival of edward albee's who's afraid of virginia woolf? as originally presented by the steppenwolf theater company. On june 9 2013 he received the tony award for best performance by a leading actor in a play for his performance as george in who's afraid of virginia woolf?. In 2013 letts was nominated along with the rest of the cast of showtime's homeland for an "" outstanding performance by an ensemble in a drama series "" screen actors guild award."
42	T43	TH43	H	William fleming (australian politician) (19 may 1874 – 24 july 1961) was an australia Fleming moved to federal parliament in 1913 as the member for the division of robertson initially as a representative of the commonwealth liberal party then the nationalist party (australia) and later the national party of australia. While a member of federal parliament fleming joined the australian imperial force on 6 october 1916 and served as a driver in the army service corps until his discharge in england on 27 december 1918. Fleming became an orchardist in terrigal, new south wales where he died in 1961. In addition to his parliamentary career william fleming wrote poetry novels and books for children through his lifetime.
43	T44	TH44	H	Kevin kallaugher (born march 23 1955 in norwalk, connecticut) is a political cartoonist for the economist and the baltimore sun. He cartoons using the pen name kevin kallaugher. In march 1978 the economist recruited him to become their first resident cartoonist in their then 135-year history. Kallaugher spent the next 10 years working in london as a cartoonist for such publications as the observer the sunday telegraph today and the mail on sunday. Kallaugher returned to the u.s. in 1988 to join the baltimore sun as its editorial cartoonist. Kallaugher has won many awards for his work most recently the 2015 herblock prize for editorial cartooning. In 1990 he was awarded the award for best editorial cartoon at the witty world international cartoon festival in budapest, hungary and the 1982 feature cartoonist of the year award as presented by the cartoonist club of great britain. Kallaugher is past president of the association of american editorial cartoonists and cartoons rights network an international human rights organization dedicate to the plight of cartoonists at risk.
44	T45	TH45	H	"Jack sheldon (born november 20 1931) is an american bebop and west coast jazz trumpet singer and actor. He is a trumpet player and was the music director on the merv griffin show as well as the voice heard on several episodes of the educational music television series schoolhouse rock! Sheldon was born in jacksonville, florida. Sheldon played the trumpet sang and performed on the merv griffin show. Sheldon sang and played trumpet for the new segment. A trumpet solo of his is featured throughout the francis ford coppola film one from the heart (1982). Tom waits ' 1977 album foreign affairs includes sheldon playing trumpet on several cuts including the solo at the end of "" burma shave "". He made an appearance in the 1994 film radioland murders as the ill-fated trumpet player ruffles reedy who becomes a victim of the gruesome goings-on during a 1939 radio show. Sheldon is the subject of a documentary trying to get good : the jazz odyssey of jack sheldon (2008)."
45	T46	TH46	H	Luka žorić (born november 5 1984) is a croatian professional basketball player who plays for kk cibona of the croatian league and aba league. Standing at he plays at the center (basketball) position. In march 2011 žorić received the award for most valuable player of the nlb adriatic league while playing for kk zagreb. On june 9 2011 žorić signed a three-year contract with the spanish team baloncesto málaga. On july 28 2015 žorić returned to croatia and signed with cedevita for the 2015 – 16 season. On january 5 2017 he returned to his former club kk cibona for the rest of the season.
46	T47	TH47	H	Wilhelm dörpfeld (26 december 1853 – 25 april 1940) was a germany architect and archaeologist a pioneer of stratigraphic excavation and precise graphical documentation of archaeological projects. He was born in barmen rhenish prussia the son of christine and friedrich william dörpfeld. In 1873 dörpfeld enrolled in architectural studies in berlin into the famous academy of architecture (bauakademie). At the beginning of the 1920s he started to lecture at the university of jena but was not satisfied with teaching as a profession and so returned to greece. Dörpfeld died in 1940 on the island of lefkada greece where he had a house believing that the bay of nydri on the eastern coast of lefkada was the historical ithaca home of odysseus in homer's odyssey. He proposed that the bay of nidri on the eastern coast of lefkada was ithaca home of odysseus. Dörpfeld compared several passages from the odyssey to the actual geographical location of lefkada and he concluded that it must be the homer Lefkada is connected today to mainland greece by a causeway and floating bridge but in ancient times it was connected to the mainland by a narrow strip of land making it a peninsula rather than an island. Modern geographers and hydrographers however have claimed that ancient lefkada was an island. Dörpfeld may have believed that lefkada was a freestanding island (or was regarded as such) at the time of homer ’ s descriptions in accordance with the above passage.
47	T48	TH48	H	Alice waters is an american chef restaurateur activist and author. Waters was born in chatham borough, new jersey april 28 1944. She graduated from the university of california, berkeley after transferring there from uc santa barbara. In his book alice waters and chez panisse thomas mcnamee recounts waters ’ experience in turkey where a young turkish boy shared tea and a small bit of cheese with waters and her traveling companions even though he had very little. Waters counts elizabeth david the english cookbook author and writer as one of her influences. Currently waters is working at the national policy level to extend free school meals to all public school children in the united states. She was the third recipient of the annual award and is the only female winner in the award ’ s history. About waters the 50 best restaurants writes : “ described variously as a visionary a pioneer ‘ the mother of american cooking ’ and ‘ the most important figure in the culinary history of north america ’ alice waters is certainly one of the most influential figures in american cooking of the last 50 years . ”
48	T49	TH49	H	Alex homberger (26 october 1912 – april 15 2007) was a switzerland rowing (sport) who competed in the 1936 summer olympics. He was born in schaffhausen and died in muskegon, michigan united states.
49	T50	TH50	H	Kenneth fabricius (born 3 november 1981 in skærbæk denmark) is a denmark professional association football. He plays as a forward (association football). Fabricius started playing for silkeborg if in 2000 and signed his first full-time professional contract with the club in 2002. In july 2004 fabricius moved to viborg ff where he played for two years before moving to sønderjyske fodbold in the summer 2006.
50	T51	TH51	H	Pavel gevorgyan (born april 8 1963 in azokh hadrut region nagorno-karabakh soviet union) is a professor doctor of science in physics and mathematics corresponding member of russian academy of natural sciences head of department of mathematical analysis of moscow state pedagogical university. Dissertation : “ equivariant movability ” (under the supervision of professor yu.m.smirnov). Equivariant topology. Sixteenth summer conference on topology and its applications july 18 – 20 2001 new york ny united states. On topology and its applications yokohama japan september 1 – 3 1999.
51	T52	TH52	H	"The yongzheng emperor (13 december 1678 – 8 october 1735) born yongzheng emperor was the fifth emperor of china of the manchu people A hard-working ruler the yongzheng emperor's main goal was to create an effective government at minimal expense. Like his father the kangxi emperor the yongzheng emperor used military force to preserve the dynasty's position. Although the yongzheng emperor's reign was much shorter than that of both his father (the kangxi emperor) and his son (the qianlong emperor) the yongzheng era was a period of peace and prosperity. The yongzheng emperor cracked down on corruption and reformed the financial administration. His reign saw the formation of the grand council an institution which had an enormous impact on the future of the qing dynasty. Curplewas the eleventh recorded son of the kangxi emperor and the fourth prince to survive into adulthood. His mother historically known as empress xiaogongren was originally a court attendant from the manchu uya clan. For most of his childhood yinzhen was raised by noble consort tong the daughter of tong guowei the kangxi emperor's maternal uncle and an eminent official in the early part of the kangxi emperor's reign. The kangxi emperor did not raise his children only inside the palace. Yinzhen accompanied his father on several inspection trips around the beijing area as well as one further south. In 1709 the kangxi emperor stripped his second son yunreng of his position as crown prince. Yinreng had been the crown prince for his whole life his removal left the position of heir open to competition among the emperor's remaining sons (the kangxi emperor had 24 sons who reached adulthood). In the same year the kangxi emperor promoted yinzhen from junwang to qinwang (first-rank prince) under the title "" prince yong of the first rank "" (manchu : hošoi hūwaliyasun cin wang). To appoint a new heir the kangxi emperor decreed that officials in his imperial court would nominate a new crown prince. The kangxi emperor's eighth son yunsi was the candidate preferred by the majority of the court as well as many of the kangxi emperor's other sons. The kangxi emperor however opted not to appoint yinsi as his heir apparent largely due to apprehension that yinsi's political clout at court was beginning to overshadow that of himself. Yinzhen (胤 禛 : 13 december 1678 - 08 october 1735 ce) had the highest honor to orchestrate the imperial ceremonies and rituals during the reign of the kangxi emperor which illustrated that yinzhen was well acquainted with the confucianism traditions and customs. As the yongzheng emperor (雍 正 : r . 1723 ce - 1735 ce) of qing dynasty china yinzhen was indubitably a very diplomatically inclined ruler who created an institution of a "" moral government "" based on the confucian principles. A notable quote from yinzhen captured during his reign as the yongzheng emperor in the 1720's expresses his imperial will : "" 小 事 小 料 理 不 可 因 小 而 忽 之 · 大 事 大 振 作 不 可 因 難 處 而 隱 諱 。 朕 意 若 果 能 如 此 實 心 奉 行 以 忠 正 一 字 感 化 不 數 年 賊 亦 人 也 。 見 文 武 大 臣 實 心 忠 勇 為 國 屬 員 清 正 愛 民 營 伍 整 齊 士 卒 曉 勇 而 百 姓 不 懷 如 是 德 不 畏 如 是 威 仍 去 成 群 為 匪 者 朕 想 必 無 此 理 也 。 "" [ page 190 line 7 - line 10 ] "" if it is a trivial matter do not just simply neglect the issue because it seems insignificant. Perhaps the yongzheng era (雍 正 : r . 1723 ce - 1735 ce) may have been overshadowed by his predecessor's accomplishments the kangxi emperor emperor and his achievements may not have been as glorious as his successor the qianlong emperor emperor however the yongzheng era did serve as a remediation to the people and resentments began to gradually whittle. Hence the yongzheng era was a peaceful and prosperous reign of qing dynasty china. In 1712 the kangxi emperor deposed yunreng again and chose not to designate an heir apparent for the remaining years of his reign. Those considered ' frontrunners ' were yunzhi, prince zhi yunsi and yunti, prince xun (the third eighth and 14th princes respectively). Yinzhen had supported yinreng as heir and did not build a large political base for himself until the final years of the kangxi emperor's reign. When the kangxi emperor died in december 1722 the field of contenders shrank to three princes after yinsi pledged his support to the 14th prince yinti. At the time of the kangxi emperor's death yinti who held the appointment of border-pacification general-in-chief was leading a military campaign in northwestern china. Some historians believe that yinti's appointment implied that the kangxi emperor favoured yinti and was grooming him for succession by sending him on a campaign to train him in military affairs. Others however maintain that the kangxi emperor intended to keep yinti away from the capital to ensure a peaceful succession for yinzhen. Official court records state that on 20 december 1722 the ailing kangxi emperor called seven of his sons and the general commandant of the beijing gendarmerie longkodo to his bedside. Longkodo read the will and declared that yinzhen would be the kangxi emperor's successor. There is a widely circulated legend persisting even to the present day that yinzhen was crowned emperor after he modified kangxi emperor's final will that detailed who will succeed him. There are two versions of the legend both of which involves the chinese character "" 十 "" and by extension yunti, prince xun. In this case the will mentions "" prince yong emperor's fourth son yinzhen "" as well as kangxi emperor's high regards for yinzhen and his belief that yinzhen can succeed on the throne. Immediately after succeeding to the throne the yongzheng emperor chose his new governing council. It consisted of the eighth prince yunsi 13th prince yinxiang (prince) zhang tingyu ma qi and longkodo. The nature of his succession remained a subject of controversy and overshadowed the yongzheng emperor's reign. As many of his surviving brothers did not see his succession as legitimate the yongzheng emperor became increasingly paranoid that they would plot to overthrow him. The earlier players in the battle for succession yunzhi, prince zhi the eldest and yinreng the former crown prince continued to live under house arrest. Yinreng died two years after the yongzheng emperor's reign began. The yongzheng emperor continued to perceive yinsi and his party consisting of the princes yuntang yun'e yunti, prince xun and their associates as his greatest political challenge in the early years of his reign. To diffuse their political clout the yongzheng emperor undertook a ' divide and conquer ' strategy. Yinsi was also then appointed as the minister of the lifan yuan (feudatory affairs office) and the top-ranking member of the imperial council assisting the yongzheng emperor some historians believe his position at the time was essentially that of a "" chancellor or prime minister "". By ostensibly elevating yinsi to a more prominent political role the yongzheng emperor held yinsi under close watch and kept him busy with affairs of state reducing the chance of him conducting behind-the-scenes political maneuvers. Yintang was sent to qinghai under the pretext of military service but in reality was watched over by the yongzheng emperor's trusted protégé nian gengyao. Yin 'e the tenth prince was told to leave the capital to send off a departing mongol prince but since he refused to complete this trip as the emperor commanded the yongzheng emperor stripped him of all his titles in may 1724 and sent him north to shunyi to languish in solitude. The 14th prince yinti born to the same mother as the yongzheng emperor was recalled to beijing from his military post. Yinti who expected to be placed on the throne himself was reluctant to recognise the yongzheng emperor's succession as legitimate. Yinti was accused of violating imperial decorum at the funeral proceedings of the late emperor and placed under house arrest by the yongzheng emperor at the imperial tombs in western beijing. Historians believe that their mother empress xiaogongren favoured yinti partly because she raised him herself while she did not raise the yongzheng emperor. She died less than six months after the kangxi emperor. By forcibly dispatching yinsi's party to separate locations geographically the yongzheng emperor made it extremely inconvenient for his rivals to link up and conspire against him. The yongzheng emperor publicly reprimanded yinsi in 1724 for mishandling an assignment eventually removing him from office and then sending him into house arrest. In 1725 the yongzheng emperor bestowed a hereditary marquis title on zhu zhilian a descendant of the imperial family of the ming dynasty. Later in 1750 during the reign of the yongzheng emperor's successor the qianlong emperor zhu zhiliang was posthumously honoured as "" marquis of extended grace "". The marquis title was passed on to zhu's descendants for 12 generations until the end of the qing dynasty in the early 20th century. Nian gengyao was a supporter of the yongzheng emperor long before the latter ascended the throne. In 1722 when he was recalling his brother yinti from the northwest border in xinjiang the yongzheng emperor appointed nian as the commander of the qing army in xinjiang. Seeing nian as no longer within his control the yongzheng emperor issued an imperial edict demoting nian to the position of a general of the hangzhou command. Longkodo was the commander of the militias stationed at the capital at the time of the yongzheng emperor's succession. After taking the throne the yongzheng emperor suppressed writings he deemed unfavorable to his court particularly those with an anti-manchu bias. Yue zhongqi promptly turned him in and in 1730 news of the case reached the yongzheng emperor. Highly concerned with the implications of the case the emperor had zeng jing brought to beijing for trial. The yongzheng emperor is also known for establishing a strict autocratic-style rule during his reign. The yongzheng emperor's reign saw the qing dynasty further establish itself as a powerful empire in asia. In response to the tragedy of the succession struggle during his father's reign the yongzheng emperor created a sophisticated procedure for choosing a successor. During the massive population growth in the qing dynasty and increasing demand from peasant and military populations for grain the yongzheng emperor launched a grain campaign in which he incentivized officials in local and provincial governments to compete in buying land meant specifically for farming. The yongzheng emperor offered officials 5-10 year tax holidays in which they were free from paying taxes. Ethnicity in qing dynasty could vary depending on where one was from even locally in china. The yongzheng emperor in an attempt to allow for as many people to take the civil service examination as possible set up special exams for people in rural china. The yongzheng emperor sought to remedy this by mandating that orphanages (also called poor houses) be built in every county. The kangxi emperor mandated that scholars that had passed the civil service examination at any level were able to bypass punishments from the legal system depending on which level of the exams they had passed. In an attempt to stop this the yongzheng emperor made it illegal to offer privileges to officials going through the legal system. This did not last long as the qianlong emperor reinstated legal privileges for officials that had passed the civil service examination shortly after becoming emperor after yongzheng. In the mid 1720s qing empire complex levels of tax hierarchies put in place by the kangxi emperor existed to separate the population into different tax brackets. The yongzheng emperor removed these privileged tax brackets as he saw the local gentry as competition to the throne. Just like the legal privileges that passing the civil service examination offered soon after the end of the yongzheng emperor's reign the qianlong emperor quickly reinstated the privileged tax brackets. Growing distrust of jesuit missionaries by the kangxi emperor and later yonzheng in the early 1720s led to prohibition and action against the christian presence in china. The kangxi emperor had banned foreign missions (outside of beijing and guangzhou) and yongzheng took this one step further by removing all foreign priests from china. Like his father the yongzheng emperor used military force in order to preserve the qing empire's position in outer mongolia. For the tibetan campaign the yongzheng emperor sent an army of 230,000 led by nian gengyao against the dzungars and their army of 80,000. Later in the yongzheng emperor's reign he sent a small army of 10,000 to fight the dzungars again. Following the reforms of 1729 the treasury's income increased from 32,622,421 taels in 1721 to about 60 million taels in 1730 surpassing the record set during the kangxi emperor's reign but the pacification of the qinghai area and the defence of border areas were heavy burdens on the treasury. It was because of the cost of war that the yongzheng emperor considered making peace with the dzungars. China and qing were noticeably and increasingly equated with each other during the qianlong emperor's reign with the qianlong emperor and the qing government writing poems and documents using both the chinese name zhongguo and the manchu name dulimbai gurun. Compared to the reigns of previous qing emperors such as the yongzheng and kangxi emperors the use of china to refer to the qing empire appears most during the qianlong emperor's reign according to scholars who examined documents on sino-russian relations. The yongzheng emperor spoke out against the claim by anti-qing rebels that the qing were only rulers of manchus and not china saying "" the seditious rebels claim that we are the rulers of manchus and only later penetrated central china to become its rulers. The yongzheng emperor stated : "" the lord of heaven is heaven itself. Introducing china to his religious faith was in matteo ricci's mission and he successfully built a church in 1601 at beijing also known as the forbidden city. The yongzheng emperor was firmly against christian converts among the manchus. In 1724 the yongzheng emperor issued a decree proscribing catholicism. This was followed by the persecution of chinese christians that steadily increased during the reign of the yongzheng emperor's son the qianlong emperor. The yongzheng emperor ruled the qing empire for 13 years before dying suddenly in 1735 at the age of 56. Another theory was that lü siniang was the yongzheng emperor's lover and the real mother of the qianlong emperor but he refused to let her become the empress. To prevent a succession crisis like he had faced the yongzheng emperor was said to have ordered his third son hongshi (an ally of yinsi) to commit suicide. The yongzheng emperor was interred in the western qing tombs southwest of beijing in the tailing mausoleum complex (known in manchu as the elhe munggan). His fourth son hongli then still known as "" prince bao (of the first rank) "" succeeded him as the qianlong emperor. The qianlong emperor rehabilitated many figures who had been purged during his father's reign including restoring honours to many of his uncles who were formerly his father's rivals in the succession struggle. Shortly after he was born hongli switched places with one of the yongzheng emperor's daughters was raised as the emperor's son and eventually inherited the throne. The second legend about the qianlong emperor's origins more popular in northern china stated that during a trip to the mulan hunting grounds (木 蘭 圍 場) in rehe province the yongzheng emperor had an illegitimate affair with a palace maid and they conceived a son who became the qianlong emperor. The yongzheng emperor had 14 children with his primary wife and consorts. Of these children only five hongshi hongli hongzhou hongyan and the princess huaike were known to have survived into adulthood. 18th-century chinese painting of the yongzheng emperor wearing a european wig and dress preparing to strike a tiger with a trident | alt = painting of chinese man in western clothes attacking a tiger with a pitchfork-like staff. Alt = painting of the yongzheng emperor sitting on the ground near a waterfall. The yongzheng emperor offering sacrifices at the altar of the god of agriculture shennong | alt = painting of people on a path in a large courtyard flanked by soldiers viewed from a distance."
52	T53	TH53	H	Xu huaiwen (born august 2 1975) is a badminton player from germany. She was born in guiyang guizhou china. She decided to play for germany because the chinese thought that she was too short to play professional world badminton. Xu was among the most successful of a number of chinese-born female players who emigrated from their badminton-rich homeland in part for a better opportunity to play in the world's biggest events. At the 2008 beijing olympics xu was eliminated in a close quarterfinal match by china's xie xingfang the world's number one ranked player. Xu retired from playing on the international circuit in 2009 and worked as a coach for two years at the bellevue badminton club near seattle teaching the junior national team of young badminton players hoping to succeed in professional badminton. From 2011 to 2012 she served the dutch badminton association as their national coach.
53	T54	TH54	H	Hans wilhelm frei (april 29 1922 – september 12 1988) was a biblical scholar and theologian who is best known for work on biblical hermeneutics. His best-known and most influential work is his 1974 book the eclipse of biblical narrative (yale university press) which examined the history of eighteenth- and nineteenth century biblical hermeneutics in england and germany. He was born in wrocław lower silesia germany to secularised jewish parents (magda frankfurther frei a pediatrician wilhelm siegmund frei a venereologist on the medical faculty of the university of breslau). After three years in august 1938 his parents left germany and frei moved with them to the united states where he was terrified by his encounter with new york city. In particular he found a home within america in new haven, connecticut at yale university. While at north carolina state frei heard a lecture by the prominent theologian h. richard niebuhr began corresponding with him and eventually enrolled for a b.d. At the same time he found himself unable easily to call himself a theologian particularly not a systematic theologian and he concentrated his energies instead on the ' religious studies ' (for which read ' historical ') side of his work. He spoke in 1985 in response to an assessment of his work by the evangelical theologian carl f. h. henry in 1986 he spoke at a conference in honour of jürgen moltmann delivered a lecture at princeton university and spoke on barth and schleiermacher at a conference at stony point, new york.
54	T55	TH55	H	Laurie walquist (march 9 1898 – september 1 1985) was a professional american football player who played quarterback for nine seasons for the chicago bears. He was born in rockford, illinois. Laurie served in the united states army in 1918 and while he was accepted at west point he chose to attend the university of illinois at urbana–champaign. Walquist played with the chicago bears for nine season (1922 1924 – 1931) and continued with the team through the mid-1930s as an assistanr coach along with paddy driscoll under head coach george halas.
55	T56	TH56	H	Shin sang-ok (october 11 1926 – april 11 2006) was a prolific south korean film film producer and film director with more than 100 producer and 70 director credits to his name. He was born shin sang-ok he later changed his name to shin sang-ok when he started working in the film industry. The son of a prominent doctor of chinese medicine shin sang-ok was born in chongjin in the northeastern part of the korean peninsula at the time occupied by japan and currently a part of north korea. During the 1970s shin became less active while south korea's cinema industry in general suffered under strict censorship and constant government interference. In 1978 shin's former wife choi eun-hee an actress who starred in many of his films was kidnap At first shin was reluctant to go back to south korea because he feared that the government's security police would not believe the kidnapping story he eventually returned to south korea permanently in 1994 and continued to work on new movies. South korean president roh moo-hyun posthumously awarded shin the gold crown cultural medal on april 11 2006 the country's top honor for an artist. In 2015 an english-language biography of his life (along with choi eun-hee) called a kim jong-il production : the extraordinary true story of a kidnapped filmmaker was published by paul fischer.
